id,Subject,Complaint,Departments
1,No water supply connection.,"No water pipeline connection in amma gardens residential area, Erattakalangu, Malayinkeezhu.",Water Authority
2,"Road re tarring 
","I am a resident of sreekaryam  Aambad Nnagar lane 3. The road is full of po holes.
Kindly do the necessary steps to do the maintenance of the road.",PWD
3,Power cuts without a prior notice.,"As everyone knows that electricity is the major working force of every sector say it's IT,
Industries or even farming. When there comes a shortage of supply of electricity,
the unnoticed power cuts affect the overall working of a sector.
This complaint is to make sure that proper announcements through different communication 
platforms must be ensurde prior to these power cuts.",KSEB
4,Scarcity of water in day time. ,"There is scarcity of water in my area Vanchiyoor on day time. This creates great trouble for 
people who are getting ready for their work, schools, office  etc. ",Water Authority
5,Water scarcity,"There is a huge scarcity of water in remote areas, and people have to walk large distances 
standing in queue to fetch water. This problem exiss  in some of the hilly areas in idukki district of Kerala. 
SI i humbly request to take necessary actions to tackle the problem in the near future.",Water Authority
6,Water scarcity ,Frequent scarcity of water during morning.,Water Authority
7,"Poor condition of Road in rural areas 
of Kerala","The condition of road in rural areas of Kerala are very miserable and the corruption in the contract on 
maintenance of road  is causing problems and it leads to frequent damage to the newly constructed and 
tared roads. The potholes in the road leads to accidents, losing balance of the vehicles 
and paved way for more damage to the road.",PWD
8,Bus service has been stopped.,"I am a student travelling from Kattakada to Sreekaryam. Recently,  bus service has been reduced
 and we can't reach college on time. And have to choose other buses to reach the college at late hours. 
Earlier we had 2-3 buses from Kattakkada. Now, the service has been stopped due to low income which
causes the college students to miss the class. Hoping that you will do the needful to arrange the bus to 
reach to college at right time.
",KSRTC
9,No Water Supply Available.,"There is more then 100 houses in over area but no water supply available there.People cannot get water of their 
needs. Therefore I request the concerning authorities to look into the matter seriously and take necessary steps for 
solving the problem. So the water supply may kindly be made daily in our locality. People may get rid of the problem
 of no water supply.",Water Authority
10,Stealing of water from Sealed pipes.," I stayed in a hotel in Kovalam beach, called Palm Grove, second beach road kovalam, near kovalam bus stand.
 I came to know that the hotel has water connection without water supply because the authority sealed the 
pipe for big dues of bill. So they are stealing the water from the sealed pipe, last more than a year. they have huge
 capacity of water storage under the building approx 20000 ilters capacity. me stayed in this hotel for 3 nights and 
staff in there told me all the things regarding this. please take immediate action against this. they fix with small 
lengthy pipe with two side of thread connector, connected to sealed pipe(which is also not caped with glue, but it is 
closed with thread cap). usually there is water supply hardly 3 to 4 days per week, any of these day they steal the
 water. once they fill their 20000 liters (appox) filled can use 1 week. Please take necessary action against this.",Water Authority
11,Frequent power loss.,I have experiences this ''load shedding'' procedure many a times in a day even it is set for a particular time.,KSEB
12,"Bribed for the rectifying connection 
failure.","The employees are highly corrupt. I had to give Rs 700 as bribe to get my connection rectified. They first 
connected the wires wrongly and left without checking the supply, after grabbing the bribe money. My electronic 
appliances got burnt out due to high voltage as a result of their bad connection.",
13,"Increasing deaths from air pollution 
Air pollution.","The number of deaths from cardiovascular disease that can be attributed to air pollution is much 
higher than expected.Air pollution caused twice as many deaths from CVD as from respiratory
 diseases.","Environment and climate
 change"
14,Waste disposal to water bodies.,"People make river water polluted by dumping household wastage, industrial wastage into it.","Environment and climate
 change"
15,Rash driving by the bus drivers.,The KSRTC drivers drove vehicles rashly and carelessly causing lots of accidents in the city and rural areas.,KSRTC
16,Need for the New street light.,Our locality is facing the problem of unavailability of street lights. This scenario ease robbery and unsocial activities.,KSEB
17,Water Leakage.,Water Leakage in our locality is still unrepaired. It causes water shortage in other areas too.,Water Authority
18,New road taring.,"I am living in an area where the road is  very harsh. More than 500 people are living in this area. Travelling through 
unpaved road is a difficult task.Irequests you to tar the road as early as possible.",PWD
19,Roads shattered on landslides.,Due to the recent landslide activity the roads got shattered. The traffic is stopped for so many days. Please make tarring process faster.,PWD
20,Illegal Sand mines.,"Due to the sand mining there is more of effect on the ecosystem which will have a severe impact on 
plants, animals and rivers.","Environment and climate
 change"
21,Waste disposal on roads.,"In our areas during night some strangers are dumping hotel waste, domestic waste which is very foul smelling
 on the sides of the road. Those wastes remain in th road uncleaned. There should be a camera survelliance facility to catch the 
people throwing wastes.","Environment and climate
 change"
22,Construction of walls on PWD space.,Mr. Kumar in our locality is constructing a wall by taking the footpath of the PWD.,PWD
23,Meter is not working.,Electricity meter is not working for last 3 days.Please replace it with a new one.,KSEB
24,False meter readings.,Electricity meter is showing high values even though I am using the current in a normal.Please repair is fastly.,KSEB
25,High Voltage issue.,"Since Transformer is very near to my house, I am facing high voltage issue. Lights and electrical equipments 
got damaged easily.",KSEB
26,Misbehaviour of lineman.,Recently lineman came to our house to repair the connection issue and he was drunken and misbehaved to us.,KSEB
27,Delay for new electricity connection.,"I applied for new electricity connection for my home last month. Till now I haven't got the connection.Please make 
it fast.",KSEB
28,Low voltage problem.,During evening time we are facing low voltage issue. We are unable to use electric  devices after that.,KSEB
29,"Load Shedding issue during Public
 examination.",Please avoid night time load shedding as public examinations are going on.,KSEB
30,"Failure on connection due to heavy
 raining.",electric connection got failed due to heavy raining.,KSEB
31,Three phases aren't working.,"I have three phase connections at home. Only one phase is working for so many days.Remaining other phases are 
always on off state.",KSEB
32,Transformer explodes.,Transformer in Trivandrum city exploded with a large sound.,KSEB
33,Smelling water.,"Water flowing through the pipe has a foul smell. Therefore, it unfits for drinking and cooking purposes.",Water Authority
34,Fishes dying massively.,Fishes in the river Pampa are dying massively due to the deposits of oil by the factories nearby.,"Environment and climate
 change"
35,Water theft.,The amount of unauthorised connection to water mains cause huge bills to the authorised consumer.,Water Authority
36,Leaking  pipes in the public pipes.,Public pipe in Triivandrum city is leaking thus leads to water shortage.,Water Authority
37,Irregular bus timings.,Buses running do not keep timings. It is late always and too rushy.,KSRTC
38,Need for a new bus in our route.,"During the busy hours of morning, we have no buses.Kindly provide to us a bus in the cottton hill school route.",KSRTC
39,The conductor not giving the balance amount.,"Conductors usually do not give back balance amount. When we ask, they behave very rudely.",KSRTC
40,Reschedule the bus.,"recently rescheduling of buses caused a great inconvenience to the students, workers who depend on the this bus
 solely. ",KSRTC
41,Construction of paddy fields.,Construction is going on the Trivandrum in the paddy fields. Please take necessary steps to save farming.,"Environment and climate
 change"
42,Road work during day time.,Road works without a prior notice during day time cause heavy traffic congestion.,PWD
43,Water pollution is a major issue.,"Many industries dump wastes into rivers, lakes, ponds, and streams in an attempt to hide wastes from EPA i
nspectors. These water sources feed major crops and food becomes contaminated with a variety of chemicals 
and bacteria, causing rampant health problems.","Environment and climate
 change"
44,Burning of plastics issue.,"Burning of plastics in public places cause a major health concern. As the rate of lung cancer patients are increasing 
day by day, it is high time to check such activities.","Environment and climate
 change"
45,Waste Collecting Mechanism.,"Dumping of wastes in the public places causes major health issues and has been inviting the eradicated disease
 once more. There should be a mechanism to collect the wastes from all the households and it should be disposed 
properly.","Environment and climate
 change"
46,Save water bodies.,"Activities like waste disposal from residential, commercial and industrial areas, oil spills and runoff from 
agriculture all contaminate bodies of water.","Environment and climate
 change"
47,Overfishing in rivers.,"Overfishing, which causes a reduction in diversity of marine life. Fishermen are not considering their breeding time.","Environment and climate
 change"
48,Light Pollution.,"Artificial light at night is one of the most obvious physical changes that humans have made to
 the biosphere, Artificial light also affects dispersal, orientation, migration, and hormone levels, resulting in disrupted 
circadian rhythms.","Environment and climate
 change"
49,We make a lot of e-waste.,"The electronic waste problem is huge. The electronics end up in landfills, toxics like lead, 
mercury, and cadmium leach into the soil and water.","Environment and climate
 change"
50,Ocean acidification.,"ocean acidification is caused when CO₂ dissolves into the ocean bonding with sea water creating 
carbonic acid. The acid reduces the pH levels in the water.","Environment and climate
 change"
51,City Dwellers are prone to noise pollution.,"Noise produced by vehicles, political parties, religious centers causes great harm to human ears.","Environment and climate
 change"
52,Road retarring.,"Melattumoozhy- Thannippara Road is in a very bad condition and the accidents are increasing day by day. 
Please take necessary actions for the retarring process.",PWD
